Agency,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago
@BBCnews,0.0,Sun Nov 05 18:49:20 +0000 2017,0.0,1.0,0.0,RT @RhodesWriter: .@ianbirrell @marionpfallon @BBCNews As she is head of Church of England @c_of_e @JustinWelby needs to make a public stat…,31
@BBCnews,0.5267,Sun Nov 05 18:49:18 +0000 2017,0.0,0.805,0.195,@MattSpy05 @Cernovich @BBCBreaking @realDonaldTrump @BBCNews We sont have selective justice based on political part… https://t.co/jp4Sf9j8iZ,32
@BBCnews,-0.5106,Sun Nov 05 18:49:17 +0000 2017,0.32,0.68,0.0,@Thomason97J @hhurleylol @BBCNews And investing in unethical companies,33
@BBCnews,-0.5423,Sun Nov 05 18:49:17 +0000 2017,0.179,0.821,0.0,Where the fuck are OSCE observers and international reporters from so righteous MSM? @BBCNews @SkyNews @cnnbrk… https://t.co/idlKGUVyut,34
@BBCnews,-0.4316,Sun Nov 05 18:49:16 +0000 2017,0.241,0.759,0.0,@georgedave9 @MarrShow @BBCNews @DawnButlerBrent Really? A missed hi five? #rightwingdesperation https://t.co/6b0g7wXzc3,35
@BBCnews,0.0,Sun Nov 05 18:49:16 +0000 2017,0.0,1.0,0.0,"RT @evertonfc2: Lord Ashcroft -The story of the Tory Donor who has dodged £127 million in tax
 https://t.co/A93DGxwnqb @BBCNews #bbcsp #Mar…",36
@BBCnews,-0.1027,Sun Nov 05 18:49:15 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,37
@BBCnews,0.5994,Sun Nov 05 18:49:10 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,38
@BBCnews,-0.1027,Sun Nov 05 18:49:02 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,39
@BBCnews,-0.6908,Sun Nov 05 18:48:57 +0000 2017,0.271,0.729,0.0,@mojos55 @BBCNews If @BBCNews are reporting anything negative about Royalty some serious S**t must be going down media trying to hide,40
@BBCnews,0.5994,Sun Nov 05 18:48:56 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,41
@BBCnews,0.0,Sun Nov 05 18:48:44 +0000 2017,0.0,1.0,0.0,"RT @evertonfc2: Lord Ashcroft -The story of the Tory Donor who has dodged £127 million in tax
 https://t.co/A93DGxwnqb @BBCNews #bbcsp #Mar…",42
@BBCnews,-0.296,Sun Nov 05 18:48:43 +0000 2017,0.109,0.891,0.0,@Thomason97J @hhurleylol @BBCNews No suggestion that the Queen is not paying *some* tax. But evidence on these leak… https://t.co/goLjgxxHca,43
@BBCnews,0.0,Sun Nov 05 18:48:35 +0000 2017,0.0,1.0,0.0,"@92conservative @BBCNews Says you, who is probably barely out of school, can tell by the way you know nothing about… https://t.co/1azTFMYs4Y",44
@BBCnews,0.4019,Sun Nov 05 18:48:35 +0000 2017,0.0,0.87,0.13,@gavinscott100 @BBCNews @MikeGapes He ran off from the Panorama reporter &amp; led him round the Tory Party Conference… https://t.co/MMek6KMulx,45
@BBCnews,0.0,Sun Nov 05 18:48:30 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",46
@BBCnews,0.0,Sun Nov 05 18:48:29 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",47
@BBCnews,-0.7783,Sun Nov 05 18:48:22 +0000 2017,0.402,0.467,0.131,@BBCNews Fucking tax dodgers but take from the sick and poor that's ok.,48
@BBCnews,0.0,Sun Nov 05 18:48:19 +0000 2017,0.0,1.0,0.0,@BBCWorld @BBCNews Come on...we need to address this...now,49
@BBCnews,-0.5267,Sun Nov 05 18:48:17 +0000 2017,0.236,0.764,0.0,RT @BBCNews: BT Openreach van effigy set alight by frustrated villagers https://t.co/7fW5yZh9qC,50
@BBCnews,0.0,Sun Nov 05 18:48:14 +0000 2017,0.0,1.0,0.0,@lrozen @BBC @CNN @guardian @nytimes @washingtonpost @BBCNews @Haaretz @realDonaldTrump @AlArabiya_Eng @Independent… https://t.co/7RsIpCl2b5,51
@BBCnews,-0.4767,Sun Nov 05 18:48:07 +0000 2017,0.279,0.721,0.0,"This is fairplay @eucopresident @BBCNews ?
wrong voting ballots https://t.co/daIp06wILm",52
@BBCnews,0.0,Sun Nov 05 18:48:06 +0000 2017,0.0,1.0,0.0,RT @BBCNews: wi-fry! 🔥 https://t.co/7wqSEUuWsR,53
@BBCnews,-0.6124,Sun Nov 05 18:48:06 +0000 2017,0.235,0.765,0.0,@roroalexa @BBCNews saddest part is she spent vast majority of her life in captivity,54
@BBCnews,0.0,Sun Nov 05 18:47:45 +0000 2017,0.0,1.0,0.0,"@TgLa7 @BBCNews @UKParliament Maestà,questo vale per te e la c
Corte Reale:

https://t.co/pNpg7tJ0Zj",55
@BBCnews,-0.1027,Sun Nov 05 18:47:42 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,56
@BBCnews,0.4404,Sun Nov 05 18:47:42 +0000 2017,0.0,0.828,0.172,@miw3663 @MarrShow @BBCNews @DawnButlerBrent Sooner people learn to keep their hands to themselves the better.,57
@BBCnews,0.0,Sun Nov 05 18:47:32 +0000 2017,0.0,1.0,0.0,@celticmidwife @RENUAIreland @kevinmcd2016 @MeathRight2Life @DunDoTweets @Osbers @iadww @DirtyButClean… https://t.co/kbqdKbx8Y1,58
@BBCnews,-0.1027,Sun Nov 05 18:47:32 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,59
@BBCnews,-0.1027,Sun Nov 05 18:47:30 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,60
@BBCnews,0.0,Sun Nov 05 18:47:29 +0000 2017,0.0,1.0,0.0,RT @2minbeachclean: 👉🏻😀 @BBCNews Hoorah! https://t.co/soUw4uikn5,61
@BBCnews,0.0,Sun Nov 05 18:47:29 +0000 2017,0.0,1.0,0.0,@BBCNews https://t.co/lUJycgNu7Q,62
@BBCnews,-0.4003,Sun Nov 05 18:47:27 +0000 2017,0.161,0.839,0.0,@BBCNews I don’t know why we bother with the weather forecast ... it is never accurate!,63
@BBCnews,-0.7506,Sun Nov 05 18:47:22 +0000 2017,0.33,0.567,0.103,RT @cw4t7abs: @AFP #team lame 🦆 @BBCWorld @BBCNews  @theresa_may will be easy to boycott US products - doomed strategy - whole world hates…,64
@BBCnews,0.0,Sun Nov 05 18:47:21 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",65
@BBCnews,0.0,Sun Nov 05 18:47:20 +0000 2017,0.0,1.0,0.0,RT @LesCharmilles: @BBCNews Another Brexiter unlikely to be impoverished by the consequences.,66
@BBCnews,-0.1027,Sun Nov 05 18:47:16 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,67
@BBCnews,-0.1027,Sun Nov 05 18:47:16 +0000 2017,0.069,0.931,0.0,RT @BBCNews: Lord Ashcroft secretly remained a non-dom despite attempts by MPs to make peers pay full UK tax https://t.co/dmUeANyRSa #Parad…,68
@BBCnews,-0.8519,Sun Nov 05 18:47:15 +0000 2017,0.419,0.481,0.1,@AFP #team lame 🦆 @BBCWorld @BBCNews  @theresa_may will be easy to boycott US products - doomed strategy - whole world hates Trumpiville,69
@BBCnews,0.5994,Sun Nov 05 18:47:05 +0000 2017,0.09,0.621,0.29,RT @BBCNews: Paradise Papers: Tax haven secrets of ultra-rich exposed https://t.co/0P5jsNGLGv,70
@BBCnews,0.0,Sun Nov 05 18:47:03 +0000 2017,0.0,1.0,0.0,"RT @BBCNews: Live #ParadisePapers updates: https://t.co/pETCL01Jmt

Twitter list of BBC journalists covering the story: https://t.co/LrMOZL…",71
@BBCnews,0.25,Sun Nov 05 18:47:03 +0000 2017,0.181,0.532,0.287,@BBCWorld @BBCNews Wish I had some to hide.,72
@BBCnews,0.0,Sun Nov 05 18:47:01 +0000 2017,0.0,1.0,0.0,"@modbet_UK @BBCNews If you have nothing constructive to say, then say nothing at all",73
@BBCnews,0.0,Sun Nov 05 18:46:44 +0000 2017,0.0,1.0,0.0,"RT @Hughesy53: Blimey - it’s all kicking off!
#Panorama
#TorySleaze36 
#ParadisePapers 
#TrumpDossier 
@BBCNews @Channel4News @itvnews http…",74
@BBCnews,-0.4767,Sun Nov 05 18:46:40 +0000 2017,0.23,0.669,0.1,RT @tradasro: @BBCBreaking @BBCNews Where would a poshie play their money? In a company that exploits the poor of course https://t.co/UCgQU…,75
@BBCnews,0.0,Sun Nov 05 18:46:35 +0000 2017,0.0,1.0,0.0,@lrozen @BBC @CNN @guardian @nytimes @washingtonpost @BBCNews @Haaretz @realDonaldTrump @AlArabiya_Eng @Independent… https://t.co/RhIRNBbfmq,76
